method,k,P@k,Recall@k,NDCG@k,MRR,priv_share,SPD,SPD_ci_lo,SPD_ci_hi,EO,EO_ci_lo,EO_ci_hi
Baseline (SPECTER),5,0.554,0.1253,0.5647,0.6969,0.028,-1.5748644895629722e-05,-5.363213373436363e-05,2.8451809728104804e-05,0.0003993714005149435,5.000770200308134e-05,0.003554080785003174
Baseline (SPECTER),10,0.536,0.2301,0.5565,0.6969,0.033,7.285040767817991e-08,-6.306761204208652e-05,6.952675163775078e-05,0.0007086237175356986,6.189081429180628e-05,0.004261761360436051
MMR (lambda=0.7),5,0.504,0.1144,0.5228,0.7021,0.02,-4.1005502064561764e-05,-7.888513517703425e-05,-3.125803884528254e-06,0.0014983436625511523,0.0005522132938900372,0.0023167773307018955
MMR (lambda=0.7),10,0.515,0.2278,0.5336,0.7021,0.039,3.79599986855311e-05,-3.781819860149919e-05,0.00012004775923867258,0.002816044293988403,0.00011983789785320225,0.008395182836470609
Fair-Top-K,5,0.554,0.1253,0.5647,0.6969,0.028,-1.5748644895629722e-05,-5.363213373436363e-05,2.8451809728104804e-05,0.0003993714005149435,5.000770200308134e-05,0.003554080785003174
Fair-Top-K,10,0.536,0.2301,0.5564,0.6969,0.029,-2.5180281712344153e-05,-7.569049209372462e-05,3.164685541350032e-05,0.0005787794259724361,8.045092195574995e-05,0.0041601973458120335
