query_arxiv_id,P@10,ndcg@10,rr@10,spd@10,tpr_gap@10,fpr_gap@10,priv_share@10,P@100,ndcg@100,rr@100,spd@100,tpr_gap@100,fpr_gap@100,priv_share@100
0712.3875,0.5,0.6177639991612475,1.0,-0.0002082769249994793,-0.01984126984126984,-0.0001046879252946965,0.0,0.13,0.797287906876516,1.0,-0.0008201126439936761,-0.051587301587301584,-0.0005579476316591992,0.02
0904.0908,0.4,0.4636440365082036,1.0,0.00042305137800107914,0.13405948889819858,-0.0001258600436314818,0.1,0.14,0.7279009283136049,1.0,0.0004425439620074408,0.10473397570171764,9.829841748164878e-05,0.04
0912.1238,0.3,0.36885567213865283,1.0,-0.0002082769249994793,-0.00331858407079646,-0.00014859156424462417,0.0,0.19,0.6589374748847225,1.0,-0.002082769249994793,-0.02101769911504425,-0.0017194166719735082,0.0
0912.4838,0.6,0.6840182226156365,1.0,0.00042305137800107914,-0.0031965903036760787,0.000585592944127509,0.1,0.48,0.8593805595430647,1.0,0.0029678571740096747,-0.01513896727978605,0.003578949464450045,0.08
1002.4743,0.5,0.5572998242663683,1.0,-0.0002082769249994793,-0.0021222410865874364,-0.00010951223251637207,0.0,0.33,0.8098017486835956,1.0,-0.0014514409469942348,-0.01400679117147708,-0.000770797636557542,0.01
1006.1034,0.5,0.4236766450873189,0.5,-0.0002082769249994793,-0.005257623554153523,-0.00010624282860906888,0.0,0.51,0.7705844305560517,0.5,-0.0008201126439936761,0.0011068681166638977,-0.0010411797203688752,0.02
1006.1997,0.3,0.4440973278132557,1.0,0.00042305137800107914,-0.0018808777429467085,0.0004884050246636288,0.1,0.35,0.7846132536703402,1.0,-0.00018878434099311786,0.03131496452730572,-0.00012190165733826021,0.03
1008.4682,0.0,0.0,0.047619047619047616,-0.0002082769249994793,0.0,-0.0002243309329923503,0.0,0.05,0.3173487567083925,0.047619047619047616,0.0023365288710091164,0.005047035770323718,0.002065743118846078,0.07
1109.5817,0.2,0.1709684330790704,0.2,0.00042305137800107914,-0.0005558643690939411,0.0005099523293995356,0.1,0.08,0.45543667238548635,0.2,-0.00018878434099311786,-0.0022234574763757642,-1.1573087731367275e-06,0.03
1112.4003,0.1,0.09478836436955078,0.25,-0.0002082769249994793,-0.0005327650506126798,-0.00019507542916594417,0.0,0.45,0.6895318658438991,0.25,-0.00018878434099311786,-0.003106916978325429,-0.0005198344878128413,0.03
1201.2312,0.1,0.06362078819895171,0.1,-0.0002082769249994793,-0.005747126436781609,-0.00018813102280566064,0.0,0.13,0.47537251409771897,0.1,-0.0014514409469942348,-0.07471264367816093,-0.001186075645035946,0.01
1206.4161,0.1,0.23719771276929622,0.2,-0.0002082769249994793,-0.004201680672268907,-0.00018838304552590266,0.0,0.02,0.35673628974777083,0.2,-0.0008201126439936761,-0.008403361344537815,-0.0007861775620622278,0.02
1210.0472,0.6,0.5716349530699036,0.5,-0.0002082769249994793,-0.0055658627087198514,-8.52242462980718e-05,0.0,0.63,0.8733040556331125,0.5,-0.002082769249994793,-0.05844155844155844,-0.0007883242782571641,0.0
1301.6606,0.2,0.1524971317565697,0.14285714285714285,-0.0002082769249994793,,-0.00016691355964030128,0.0,0.09,0.47669424157026014,0.14285714285714285,-0.002082769249994793,,-0.001898641740908427,0.0
1307.8266,0.2,0.28371255449703187,1.0,-0.0002082769249994793,-0.0007377351530800443,-0.00017659264491633924,0.0,0.22,0.6636929267945353,1.0,0.0023365288710091164,0.004598696373391175,0.0017876403816237886,0.07
1311.2773,1.0,1.0,1.0,0.00042305137800107914,0.002896394298165249,0.0,0.1,0.95,0.994232369983953,1.0,0.001073872265007999,-0.001710903644114383,-0.00011053632223548659,0.05
1401.1090,0.2,0.19796212533499347,0.2,0.00042305137800107914,-0.0005116398055768739,0.0005405849365580909,0.1,0.07,0.44581029384757787,0.2,-0.0008201126439936761,-0.0017907393195190585,-0.0006647035170525102,0.02
1405.7605,0.7,0.7849818707050382,1.0,0.00042305137800107914,0.03825632875468271,-6.401502219187436e-05,0.1,0.63,0.9291141370130108,1.0,-0.0008201126439936761,0.03386687857115828,-0.0007895186070331171,0.02
1406.7173,0.0,0.0,0.04,0.0010543796810016375,0.0,0.0010588842575666084,0.2,0.11,0.3995948910925822,0.04,0.004230513780010791,0.10147058823529412,0.003840376317997371,0.1
1407.5034,0.2,0.1584091525685025,0.25,-0.0002082769249994793,-0.0009732360097323601,-0.0001740719787632186,0.0,0.23,0.5903268578275096,0.25,0.003599185477010233,0.004273775520998625,0.0031435368524885044,0.09
1407.5447,0.0,0.0,0.07142857142857142,-0.0002082769249994793,0.0,-0.00020931011386470194,0.0,0.03,0.28994864031120565,0.07142857142857142,-0.0014514409469942348,-0.012658227848101266,-0.0013970072216988115,0.01
1407.6234,0.5,0.6025064803817581,1.0,-0.0002082769249994793,-0.0041390728476821195,-0.00010682619378271552,0.0,0.3,0.7951333085075125,1.0,-0.0014514409469942348,-0.024834437086092714,-0.0008546227877082895,0.01
1408.3524,0.6,0.6906478832608418,1.0,-0.0002082769249994793,-0.012269938650306749,-8.416799932665601e-05,0.0,0.34,0.8656231860848103,1.0,0.0017052005680085573,0.01865030674846626,-8.72421453977808e-05,0.06
1502.07238,0.7,0.7885497208855956,1.0,-0.0002082769249994793,-0.01837270341207349,-6.298286865972456e-05,0.0,0.37,0.8779805747379745,1.0,-0.0008201126439936761,-0.017565112053301024,-0.0006862613369163587,0.02
1508.01238,0.3,0.27848058942730364,0.5,-0.0002082769249994793,-0.010067114093959731,-0.00014670439065283454,0.0,0.13,0.5826189797459603,0.5,-0.0008201126439936761,-0.0436241610738255,-0.0005596633595766351,0.02
1508.07619,0.0,0.0,0.011627906976744186,-0.0002082769249994793,0.0,-0.0002134016218523261,0.0,0.01,0.15520856277015513,0.011627906976744186,-0.00018878434099311786,-0.0008673026886383347,-0.0001945146550728122,0.03
1511.05420,0.8,0.8701249883466592,1.0,-0.0002082769249994793,-0.004262120404901438,-4.3350095370209814e-05,0.0,0.68,0.946294532450453,1.0,0.0004425439620074408,-0.015360513142417067,0.0006509847438125003,0.04
1603.04165,0.8,0.8165901947515999,1.0,0.00042305137800107914,0.003127760523465199,-4.424582983053847e-05,0.1,0.74,0.9465360876700696,1.0,0.0017052005680085573,0.0035434628805775074,0.00013185863396758416,0.06
1604.04601,0.9,0.9363792118010481,1.0,-0.0002082769249994793,-0.018404907975460124,-2.1041999831664002e-05,0.0,0.71,0.9645457768003042,1.0,0.0023365288710091164,-0.034969325153374226,0.0006913118483737872,0.07
1604.06344,0.4,0.363525819896446,0.5,-0.0002082769249994793,-0.003780718336483932,-0.00012778191885848153,0.0,0.53,0.7959770208225513,0.5,-0.00018878434099311786,-0.014305853705424372,-0.0003463491549891225,0.03
1612.01800,0.4,0.538431315257452,1.0,-0.0002082769249994793,-0.0032948929159802307,-0.00012820786768948054,0.0,0.51,0.8666075532963247,1.0,-0.0014514409469942348,-0.032921698639835524,-0.001047030919464091,0.01
1706.09817,0.9,0.9216017310213246,1.0,-0.0002082769249994793,-0.010882708585247884,-2.119272665621159e-05,0.0,0.71,0.9425399587018959,1.0,-0.0014514409469942348,-0.04297662232970576,-0.0006145890730301361,0.01
1708.07616,0.0,0.0,0.03571428571428571,-0.0002082769249994793,0.0,-0.0002087334056942473,0.0,0.07,0.3299277926540858,0.03571428571428571,-0.00018878434099311786,0.9428571428571428,-0.000677726893467009,0.03
1709.03567,1.0,1.0,1.0,-0.0002082769249994793,-0.0023573785950023575,0.0,0.0,1.0,1.0,1.0,0.0017052005680085573,0.01655031862633268,0.0,0.06
1711.04797,0.4,0.34051969290975714,0.3333333333333333,0.00042305137800107914,0.02944603126879134,-0.00012944983818770226,0.1,0.34,0.7019835507451,0.3333333333333333,-0.0008201126439936761,0.043257666867107636,-0.0014239482200647249,0.02
1810.07251,1.0,1.0,1.0,-0.0002082769249994793,-0.0014503263234227702,0.0,0.0,0.92,0.9923194489838344,1.0,0.0004425439620074408,0.0165038604274197,0.0004807999233912155,0.04
1903.07788,1.0,1.0,1.0,-0.0002082769249994793,-0.0014854426619132501,0.0,0.0,0.89,0.9885048967907115,1.0,-0.00018878434099311786,0.017837438005505232,-0.0002664664131198372,0.03
1906.01749,0.9,0.7799082337019198,0.5,-0.0002082769249994793,-0.005169442848937392,-2.161134163208852e-05,0.0,0.68,0.9042568523178821,0.5,-0.0014514409469942348,-0.039058012636415854,-4.728658436809407e-05,0.01
1909.05881,0.7,0.6975961695061491,1.0,-0.0002082769249994793,-0.002421307506053269,-6.64864146092815e-05,0.0,0.53,0.8615186045634858,1.0,0.0029678571740096747,-0.005736192782197627,0.0031729849867343776,0.08
1909.06599,0.4,0.5103515512676446,1.0,0.00042305137800107914,-0.01639344262295082,0.0005065765508326262,0.1,0.29,0.749327796129707,1.0,-0.0014514409469942348,-0.11885245901639344,-0.0008541385572918899,0.01
1910.13320,0.0,0.0,0.045454545454545456,-0.0002082769249994793,0.0,-0.00021772262138036142,0.0,0.18,0.475841738980994,0.045454545454545456,-0.0014514409469942348,-0.008641382621219395,-0.001144358186741299,0.01
1912.08033,0.6,0.5501126236272345,0.5,0.00042305137800107914,0.06051660516605166,-8.474576271186441e-05,0.1,0.53,0.8294182806332172,0.5,-0.0008201126439936761,0.07060270602706027,-0.0009957627118644067,0.02
2002.12172,0.3,0.2114502791144043,0.16666666666666666,-0.0002082769249994793,-0.0013992537313432835,-0.000152608515555168,0.0,0.4,0.7115338456856558,0.16666666666666666,-0.0014514409469942348,-0.018656716417910446,-0.0006119629405192691,0.01
2003.06358,0.2,0.1478294909154526,0.16666666666666666,-0.0002082769249994793,-0.0016474464579901153,-0.00017094382358597406,0.0,0.12,0.5267896049677222,0.16666666666666666,0.0023365288710091164,-0.009884678747940691,0.0028835642542210174,0.07
2007.13334,0.7,0.7682269253321374,1.0,0.00042305137800107914,-0.0018125323666494044,0.0006624149962868695,0.1,0.74,0.9165168750247832,1.0,0.0029678571740096747,0.009059209390643884,0.0008718391203398144,0.08
2108.04364,0.2,0.17993148201117176,0.25,0.00042305137800107914,-0.0034423407917383822,0.00046894311830978123,0.1,0.26,0.6326485339434622,0.25,0.001073872265007999,0.019470740103270226,0.000990294315033694,0.05
2109.03095,0.3,0.20641593223508903,0.14285714285714285,-0.0002082769249994793,-0.0049261083743842365,-0.00014766686355581807,0.0,0.37,0.7014630194450742,0.14285714285714285,-0.0008201126439936761,0.1408866995073892,-0.0006955366343777759,0.02
2201.07330,0.7,0.7846170207230129,1.0,-0.00020827258716207774,-0.01856763925729443,-6.297625795075257e-05,0.0,0.43,0.8753007359440037,1.0,0.0017074789757283936,-0.022767462422634846,0.0007402562138508512,0.06
2208.08634,1.0,1.0,1.0,-0.00020827258716207774,-0.0058445353594389245,0.0,0.0,0.92,0.9847624380942274,1.0,0.0010757781678368654,-0.016833852184941774,-0.00017277498218257997,0.05
2208.08910,0.5,0.5669450709942981,1.0,-0.0002082769249994793,-0.001088139281828074,-0.00011515961122115252,0.0,0.42,0.8213361941004883,1.0,-0.0008201126439936761,-0.009140369967355821,-1.2648437503217118e-05,0.02
2209.06915,0.2,0.22400556151517553,0.5,-0.0002082769249994793,-0.0024183796856106408,-0.0001695418132496927,0.0,0.18,0.5956514002444081,0.5,0.0004425439620074408,0.0639862958484482,-0.00045626075951055774,0.04
2212.05081,0.1,0.06625422345438903,0.1111111111111111,0.00042305137800107914,-0.00017733640716439085,0.0004708355910485757,0.1,0.1,0.4077699049417499,0.1111111111111111,-0.00018878434099311786,-0.0017733640716439084,-7.425397637048558e-05,0.03
2212.12533,0.8,0.8200685179888282,1.0,-0.0002082769249994793,-0.0012965964343598054,-4.779772004875368e-05,0.0,0.53,0.8844704972588433,1.0,-0.0014514409469942348,0.0018814015271767272,-0.0011232464211457115,0.01
2301.00995,1.0,1.0,1.0,-0.0002082769249994793,-0.003377237419790611,0.0,0.0,0.91,0.9918009994589804,1.0,0.0004425439620074408,-0.0052855800100096405,-0.00019976915564236882,0.04
2302.10730,0.9,0.8899541168509599,1.0,-0.0002082769249994793,-0.0027803521779425394,-2.2333392889047703e-05,0.0,0.96,0.9796426135564367,1.0,-0.0014514409469942348,-0.007609031443499753,-8.933357155619081e-05,0.01
2303.13061,1.0,1.0,1.0,-0.0002082769249994793,-0.006666666666666667,0.0,0.0,0.49,0.9190925527059545,1.0,-0.0014514409469942348,-0.03266666666666666,-0.0004603401384662226,0.01
2304.01138,0.6,0.6547216238913564,1.0,-0.0002082769249994793,-0.008902077151335312,-8.449692642430131e-05,0.0,0.49,0.870038709064927,1.0,-0.00018878434099311786,0.03989449390042861,0.00019265973540298414,0.03
2306.08340,0.2,0.30523488393970116,1.0,-0.0002082769249994793,-0.004484304932735426,-0.00016818382492063825,0.0,0.12,0.6381748931778858,1.0,-0.0008201126439936761,0.118193465727098,-0.0012158783112173365,0.02
2306.09396,0.5,0.5239294981581574,1.0,0.0004234282207294508,-0.0010658708164570454,0.0005454253926485766,0.1,0.4,0.7936771009647778,1.0,0.0017074789757283936,0.03559081682778308,0.0005975669472830334,0.06
2310.12878,0.6,0.6306637463657283,1.0,-0.0002082769249994793,-0.0011131725417439704,-9.384604556225512e-05,0.0,0.62,0.8984533069788271,1.0,-0.00018878434099311786,-0.00822127894219889,0.0006762981374682209,0.03
2311.04887,0.0,0.0,0.09090909090909091,-0.0002082769249994793,0.0,-0.0002090344697840674,0.0,0.12,0.4670844851895033,0.09090909090909091,-0.002082769249994793,-0.06896551724137931,-0.0018395033340997931,0.0
2402.13632,0.4,0.35623158861460086,0.3333333333333333,-0.0002082769249994793,-0.029197080291970802,-0.00012532375302865735,0.0,0.14,0.6481203327079773,0.3333333333333333,-0.0014514409469942348,-0.10218978102189781,-0.0011645462853973254,0.01
2402.19043,1.0,1.0,1.0,-0.0002082769249994793,-0.0030892801977139327,0.0,0.0,0.9,0.990508491137592,1.0,-0.002082769249994793,-0.027803521779425393,-0.00022333392889047705,0.0
2403.00206,1.0,1.0,1.0,-0.0002082769249994793,-0.003202049311559398,0.0,0.0,0.93,0.9898105076516097,1.0,-0.00018878434099311786,0.040948998056430534,-0.0001559367342392515,0.03
2403.02159,0.2,0.1584091525685025,0.25,-0.0002082769249994793,-0.0019120458891013384,-0.00017033236101943918,0.0,0.47,0.7554392525473366,0.25,0.0004425439620074408,-0.02397705544933078,0.0008245915093715781,0.04
2406.03496,1.0,1.0,1.0,-0.0002082769249994793,-0.0014647722279185586,0.0,0.0,0.76,0.9621544952901233,1.0,-0.0014514409469942348,-0.0018948826184800992,-0.0005827222842713543,0.01
