method,k,P@k,Recall@k(pool),top_uni_share,SPD,SPD_ci_lo,SPD_ci_hi,EO,EO_ci_lo,EO_ci_hi
Baseline (SPECTER),5,0.554,0.1253,0.026,9.506486239796225e-06,-4.2709503578246106e-05,7.883892085296446e-05,0.002147453602641518,0.0013759759984972347,0.0030388232250635485
Baseline (SPECTER),10,0.536,0.2301,0.029,4.501263545953057e-05,-4.1869571665095905e-05,0.00014034473305263689,0.001352432279752919,0.00012622125835560583,0.003976740312934533
MMR (lambda=0.7),5,0.504,0.1144,0.022,-7.826622413495829e-06,-5.982594837337201e-05,4.4172703546380344e-05,0.0019266942355191088,0.001402057723196911,0.0024938432823244706
MMR (lambda=0.7),10,0.515,0.2278,0.03,5.367918978617661e-05,-4.165290780692976e-05,0.00015767784170592892,0.0011908920697065953,0.00011435801665669345,0.0036499530777220745
Fair-Top-K,5,0.554,0.1253,0.024,8.399319131501968e-07,-5.115939404672599e-05,5.3055921731192354e-05,0.002147453602641518,0.0013759759984972347,0.0030388232250635485
Fair-Top-K,10,0.536,0.2304,0.026,1.9012972479592463e-05,-5.89860164602218e-05,0.00010567851574605276,0.0014411836280153007,0.00012605682011968713,0.003997854972380452
