query_arxiv_id,rank,score,doc_arxiv_id,top_uni,relevant
0712.3875,1,0.922892689704895,2102.12545,False,True
0712.3875,2,0.9216469526290894,1001.0862,False,True
0712.3875,3,0.9170727729797363,1512.02298,False,True
0712.3875,4,0.9164760112762451,math/0610538,False,False
0712.3875,5,0.913642168045044,2410.18152,False,True
0712.3875,6,0.9128798842430115,0904.0088,False,False
0712.3875,7,0.9128657579421997,0910.5639,False,False
0712.3875,8,0.9113926291465759,2105.13286,False,False
0712.3875,9,0.9095832109451294,1608.00922,False,False
0712.3875,10,0.9084792137145996,math/0606720,False,True
0712.3875,11,0.9045305848121643,0802.2044,False,False
0712.3875,12,0.9036597609519958,math/0402453,False,False
0712.3875,13,0.9028570055961609,1510.06258,False,False
0712.3875,14,0.9025828242301941,2110.10251,False,False
0712.3875,15,0.9011639356613159,2212.02665,False,False
0712.3875,16,0.9006486535072327,0904.4858,False,True
0712.3875,17,0.8990196585655212,1112.2191,False,False
0712.3875,18,0.8978710174560547,1111.6710,False,False
0712.3875,19,0.8975168466567993,2106.14606,False,False
0712.3875,20,0.8969978094100952,1408.0392,False,False
0712.3875,21,0.8965755701065063,2306.05099,False,False
0712.3875,22,0.8964722156524658,2302.04205,False,True
0712.3875,23,0.8957627415657043,math/0006105,False,False
0712.3875,24,0.8954869508743286,2603.27937,False,False
0712.3875,25,0.8952033519744873,2502.18355,False,False
0712.3875,26,0.8932620882987976,0711.2522,False,False
0712.3875,27,0.8913684487342834,2006.04256,False,False
0712.3875,28,0.8911608457565308,1101.5064,False,False
0712.3875,29,0.8910859823226929,1701.04867,False,False
0712.3875,30,0.8909116387367249,1901.00320,False,False
0712.3875,31,0.8908762335777283,2010.03423,False,False
0712.3875,32,0.8903248310089111,0805.0703,False,False
0712.3875,33,0.890295684337616,math/0409039,False,False
0712.3875,34,0.889110803604126,1209.3528,False,False
0712.3875,35,0.8884302377700806,math/9912088,False,False
0712.3875,36,0.8881692886352539,1103.5316,False,False
0712.3875,37,0.8880796432495117,math/0603458,False,False
0712.3875,38,0.8880364894866943,2208.11504,False,True
0712.3875,39,0.8878052234649658,2501.10554,False,False
0712.3875,40,0.8874087929725647,math/9808125,False,False
0712.3875,41,0.8871329426765442,2306.10729,False,False
0712.3875,42,0.8867459297180176,2405.00152,False,True
0712.3875,43,0.886709451675415,math/9906081,False,False
0712.3875,44,0.8861809372901917,math/0507321,False,False
0712.3875,45,0.8860903978347778,math/0011210,False,False
