query_arxiv_id,rank,score,doc_arxiv_id,orig_rank,privileged,relevant,min_underrep_share
1109.5817,3,0.79732745885849,1109.2683,3,False,False,0.967
1109.5817,4,0.7851241827011108,1908.05693,4,False,False,0.967
1109.5817,5,0.7840358018875122,1105.5492,5,False,True,0.967
1109.5817,6,0.7838758230209351,2503.18475,6,False,False,0.967
1109.5817,7,0.7825878858566284,1502.03059,7,False,False,0.967
1109.5817,8,0.7801763415336609,2405.05961,8,False,False,0.967
1109.5817,9,0.776075005531311,physics/9701017,9,False,False,0.967
1109.5817,10,0.776038646697998,hep-ph/0012308,10,False,True,0.967
1112.4003,1,0.8459302186965942,0708.3525,1,False,False,0.967
1112.4003,2,0.8422719836235046,nucl-th/9912073,2,False,False,0.967
1112.4003,3,0.8396286964416504,1907.00154,3,False,False,0.967
1112.4003,4,0.8394958972930908,2212.14081,4,False,True,0.967
1112.4003,5,0.838936984539032,hep-th/0106021,5,False,False,0.967
1112.4003,6,0.8360422253608704,1802.10169,6,False,False,0.967
1112.4003,7,0.8358808755874634,physics/0110092,7,False,False,0.967
1112.4003,8,0.831850528717041,1903.05070,8,False,False,0.967
1112.4003,9,0.8276032209396362,0801.0319,9,False,False,0.967
1112.4003,10,0.8271293044090271,1206.4376,10,False,False,0.967
1201.2312,1,0.8164875507354736,2109.05329,1,False,False,0.967
1201.2312,2,0.8109689950942993,2107.05516,2,False,False,0.967
1201.2312,3,0.8047131299972534,1310.4218,3,False,False,0.967
1201.2312,4,0.8026601672172546,1903.10402,4,False,False,0.967
1201.2312,5,0.7995870113372803,1505.07502,5,False,False,0.967
1201.2312,6,0.7969391942024231,1501.02175,6,False,False,0.967
1201.2312,7,0.794950544834137,1503.08877,7,False,False,0.967
1201.2312,8,0.7899892330169678,1902.04789,8,False,False,0.967
1201.2312,9,0.789085865020752,1910.11110,9,False,False,0.967
1201.2312,10,0.7886892557144165,2111.03881,10,False,True,0.967
1206.4161,1,0.8669954538345337,2012.00730,1,False,False,0.967
1206.4161,2,0.8662408590316772,math/0211395,2,False,False,0.967
1206.4161,3,0.8623225092887878,2106.02924,3,False,False,0.967
1206.4161,4,0.8579137325286865,2001.07414,4,False,False,0.967
1206.4161,5,0.853736400604248,math/0703894,5,False,True,0.967
1206.4161,6,0.8503520488739014,1302.2419,6,False,False,0.967
1206.4161,7,0.8498356342315674,1305.1860,7,False,False,0.967
1206.4161,8,0.8487724661827087,1305.1867,8,False,False,0.967
1206.4161,9,0.8475281000137329,1301.5507,9,False,False,0.967
1206.4161,10,0.8459829092025757,1808.06278,10,False,False,0.967
1210.0472,1,0.9143335819244384,1708.06287,1,False,False,0.967
1210.0472,2,0.913578987121582,1912.07171,2,False,True,0.967
1210.0472,3,0.9120279550552368,math/0006237,3,False,True,0.967
1210.0472,4,0.9113069772720336,1001.0409,4,False,True,0.967
1210.0472,5,0.9101277589797974,1905.08345,5,False,True,0.967
1210.0472,6,0.9096825122833252,1705.10658,6,False,False,0.967
1210.0472,7,0.908455491065979,2509.09548,7,False,True,0.967
1210.0472,8,0.9081717133522034,1405.3587,8,False,True,0.967
1210.0472,9,0.908009111881256,0806.4096,9,False,False,0.967
1210.0472,10,0.9076064825057985,1601.00052,10,False,False,0.967
1301.6606,1,0.8939446210861206,1601.00052,1,False,False,0.967
1301.6606,2,0.8922591805458069,0711.2769,2,False,False,0.967
1301.6606,3,0.890057384967804,1305.1867,3,False,False,0.967
1301.6606,4,0.8859871029853821,2302.01685,4,False,False,0.967
1301.6606,5,0.8854249715805054,1103.2610,5,False,False,0.967
1301.6606,6,0.8808555006980896,1609.09842,6,False,False,0.967
1301.6606,7,0.8805686235427856,math/0608187,7,False,True,0.967
1301.6606,8,0.8725001215934753,1207.3381,8,False,True,0.967
1301.6606,9,0.8711135983467102,1307.3649,9,False,False,0.967
1301.6606,10,0.871008038520813,1203.2888,10,False,False,0.967
1307.8266,1,0.8798855543136597,1103.5083,1,False,True,0.967
1307.8266,2,0.8666768670082092,2410.19045,2,False,False,0.967
1307.8266,3,0.8576866984367371,hep-ph/9903250,3,False,False,0.967
1307.8266,4,0.8569468855857849,astro-ph/0610962,4,False,False,0.967
1307.8266,5,0.8565807938575745,1901.04752,5,False,False,0.967
1307.8266,6,0.8542639017105103,physics/0611055,6,False,False,0.967
1307.8266,7,0.8537329435348511,1602.03765,7,False,False,0.967
1307.8266,8,0.8526347279548645,1808.10760,8,False,False,0.967
1307.8266,9,0.8520016670227051,2003.13615,9,False,False,0.967
1307.8266,10,0.8517783880233765,2602.05700,10,False,True,0.967
1311.2773,1,0.8978182077407837,2506.10185,1,False,True,0.967
1311.2773,2,0.8955985307693481,0905.1723,2,False,True,0.967
1311.2773,3,0.8873429298400879,quant-ph/0408116,3,False,True,0.967
1311.2773,4,0.8838520646095276,1812.05142,4,False,True,0.967
1311.2773,5,0.8834937214851379,quant-ph/0310041,5,False,True,0.967
1311.2773,6,0.8830645084381104,1810.12949,6,True,True,0.967
1311.2773,7,0.8822041749954224,quant-ph/0210046,7,False,True,0.967
1311.2773,8,0.881447970867157,1609.02170,8,False,True,0.967
1311.2773,9,0.8809995055198669,1203.0861,9,False,True,0.967
1311.2773,10,0.8801738619804382,1803.02708,10,False,True,0.967
1401.1090,1,0.8965469598770142,math/0310482,1,False,False,0.967
1401.1090,2,0.8943660855293274,math/0505150,2,False,False,0.967
