query_arxiv_id,P@10,spd@10,tpr_top@10,tpr_non@10,fpr_top@10,fpr_non@10,tpr_gap@10,fpr_gap@10,n_relevant_top@10,n_relevant_non@10,P@100,spd@100,tpr_top@100,tpr_non@100,fpr_top@100,fpr_non@100,tpr_gap@100,fpr_gap@100,n_relevant_top@100,n_relevant_non@100
0712.3875,0.5,-0.0002063174400132043,0.0,0.0199203187250996,0.0,0.00010369571529304409,-0.0199203187250996,-0.00010369571529304409,2,251,0.13,-0.00119651896746744,0.0,0.05179282868525897,0.000847457627118644,0.0017835663030403583,-0.05179282868525897,-0.0009361086759217143,2,251
0912.4838,0.6,-0.0002063174400132043,0.0,0.003131524008350731,0.0,8.592357098361008e-05,-0.003131524008350731,-8.592357098361008e-05,62,1916,0.48,0.0022701027631909718,0.03225806451612903,0.024008350730688934,0.0026785714285714286,0.0010525637445492236,0.008249713785440097,0.001626007684022205,62,1916
1002.4743,0.5,-0.0002063174400132043,0.0,0.002079002079002079,0.0,0.00010854463355331712,-0.002079002079002079,-0.00010854463355331712,107,2405,0.33,-0.00032986353480283733,0.009345794392523364,0.013305613305613306,0.0009302325581395349,0.001432789162903786,-0.0039598189130899426,-0.0005025566047642511,107,2405
1006.1997,0.3,-0.0002063174400132043,0.0,0.0018714909544603868,0.0,0.00014936201083941451,-0.0018714909544603868,-0.00014936201083941451,11,1603,0.35,-0.00119651896746744,0.09090909090909091,0.021210230817217717,0.0,0.0013869329577945633,0.06969886009187319,-0.0013869329577945633,11,1603
1008.4682,0.0,0.0006603379926513987,0.0,0.0,0.0009505703422053232,0.00019999111150615528,0.0,0.0007505792306991679,130,3467,0.05,0.004003413628520178,0.007692307692307693,0.0011537352177675222,0.005703422053231939,0.0019776898804497577,0.0065385724745401705,0.0037257321727821816,130,3467
1109.5817,0.2,0.0006603379926513987,0.0,0.0005534034311012728,0.000945179584120983,0.00015605841043361945,-0.0005534034311012728,0.0007891211736873636,124,3614,0.08,0.0022701027631909718,0.008064516129032258,0.001936912008854455,0.003780718336483932,0.00196187715973693,0.006127604120177803,0.0018188411767470019,124,3614
1112.4003,0.1,-0.0002063174400132043,0.0,0.0005219206680584551,0.0,0.00019332803471312267,-0.0005219206680584551,-0.00019332803471312267,62,1916,0.45,-0.002063174400132043,0.0,0.02348643006263048,0.0,0.0011814491010246385,-0.02348643006263048,-0.0011814491010246385,62,1916
1311.2773,1.0,-0.0002063174400132043,0.0,0.003537318712415989,0.0,0.0,-0.003537318712415989,0.0,115,2827,0.95,0.0022701027631909718,0.043478260869565216,0.0318358684117439,0.0,0.00010954822312782087,0.011642392457821317,-0.00010954822312782087,115,2827
1401.1090,0.2,-0.0002063174400132043,0.0,0.0005006257822277847,0.0,0.00017988037954760083,-0.0005006257822277847,-0.00017988037954760083,122,3995,0.07,0.0005367918978617658,0.0,0.0017521902377972466,0.002830188679245283,0.0020236542699105095,-0.0017521902377972466,0.0008065344093347734,122,3995
1407.5447,0.0,0.0006603379926513987,0.0,0.0,0.000846740050804403,0.00018661358546902214,0.0,0.0006601264653353809,1,241,0.03,-0.00119651896746744,0.0,0.012448132780082987,0.000846740050804403,0.0019905449116695696,-0.012448132780082987,-0.0011438048608651665,1,241
